Instrument JD Filter Mag eMag
LT 2458384.3405 u 18.858779 0.097307
LT 2458385.3384 u nan 0.218627
LT 2458385.339 u 18.887386 0.112624
LT 2458386.3369 u 19.159561 0.174313
LT 2458386.3375 u nan 0.206369
LT 2458388.3375 u 20.072158 0.216114
LT 2458388.338 u 19.911065 0.283587
LT 2458389.3402 u nan 0.239589
LT 2458389.3407 u nan 0.160995
LT 2458390.3678 u nan 0.262017
LT 2458390.3683 u nan 0.222627
LT 2458391.3453 u nan 0.256668
LT 2458391.3458 u 20.076981 0.243205
LT 2458371.3794 g 16.635351 0.002391
LT 2458372.3554 g 16.209259 0.001335
LT 2458373.3951 g 16.03 0.014647
LT 2458380.3599 g 16.632807 0.00305
LT 2458381.3396 g 16.744686 0.003053
LT 2458382.3438 g 16.882159 0.003007
LT 2458383.3391 g 17.044602 0.006701
LT 2458384.3392 g 17.265896 0.00609
LT 2458385.3377 g 17.488228 0.010083
LT 2458386.3362 g 17.623963 0.053877
LT 2458388.3367 g 18.079241 0.008295
LT 2458389.3394 g 18.200055 0.014369
LT 2458390.367 g 18.342227 0.063478
LT 2458391.3445 g 18.551784 0.009168
LT 2458393.3452 g 18.876585 0.016103
LT 2458394.3463 g 18.957782 0.014767
LT 2458395.3462 g 19.20046 0.032571
LT 2458396.3496 g 19.308842 0.025913
LT 2458397.3884 g 19.526693 0.035272
LT 2458407.3531 g 20.081203 0.062923
LT 2458407.3537 g 20.238818 0.074828
LT 2458408.3179 g 20.255058 0.101858
LT 2458408.3186 g 20.138966 0.066032
LT 2458409.3255 g 20.150862 0.085562
LT 2458409.3262 g 20.3354 0.119179
LT 2458371.3787 r 16.886972 0.007196
LT 2458372.3546 r 16.431375 0.002004
LT 2458373.3958 r 16.282517 0.001528
LT 2458380.3592 r 16.506728 0.003436
LT 2458381.3389 r 16.539609 0.003377
LT 2458382.3431 r 16.600045 0.005511
LT 2458383.3384 r 16.681351 0.004341
LT 2458384.3385 r 16.778651 0.004955
LT 2458385.337 r 16.907287 0.006362
LT 2458386.3354 r 17.073333 0.010075
LT 2458388.336 r 17.311452 0.004722
LT 2458389.3387 r 17.396707 0.008766
LT 2458390.3663 r 17.591492 0.036712
LT 2458391.3438 r 17.704022 0.004564
LT 2458393.3444 r 17.928232 0.008735
LT 2458394.3456 r 18.072609 0.00605
LT 2458395.3455 r 18.142654 0.022097
LT 2458396.3489 r 18.311647 0.016444
LT 2458397.3877 r 18.408265 0.016188
LT 2458407.3524 r 19.195587 0.028971
LT 2458408.317 r 19.286669 0.042361
LT 2458409.3246 r 19.409997 0.156357
LT 2458371.378 i 17.300234 0.009529
LT 2458372.3539 i 16.904226 0.00392
LT 2458373.3965 i 16.621654 0.002747
LT 2458380.3585 i 16.80536 0.0041
LT 2458381.3381 i 16.821132 0.00523
LT 2458382.3424 i 16.877127 0.009101
LT 2458383.3377 i 16.915061 0.007906
LT 2458384.3378 i 16.992352 0.169893
LT 2458385.3363 i 17.037895 0.007133
LT 2458386.3347 i 17.095545 0.009451
LT 2458388.3353 i 17.281115 0.005646
LT 2458389.338 i 17.385013 0.01034
LT 2458390.3656 i 17.555998 0.039138
LT 2458391.3431 i 17.631853 0.005991
LT 2458393.3437 i 17.838913 0.009516
LT 2458394.3449 i 17.982261 0.008526
LT 2458395.3448 i 18.102692 0.040642
LT 2458396.3481 i 18.182375 0.01268
LT 2458397.3869 i 18.302042 0.019304
LT 2458407.3517 i 19.042923 0.029906
LT 2458408.3162 i 19.030385 0.066874
LT 2458409.3238 i 19.140784 0.065045
LT 2458373.3972 z 16.824358 0.007461
LT 2458380.3577 z 16.773877 0.007285
LT 2458381.3374 z 16.789322 0.011359
LT 2458382.3416 z 16.80284 0.009713
LT 2458383.3369 z 16.823535 0.013782
LT 2458384.337 z 16.83387 0.009057
LT 2458385.3355 z 16.8943 0.012991
LT 2458386.334 z 16.942825 0.011129
LT 2458388.3345 z 17.043095 0.010674
LT 2458389.3372 z 17.108437 0.021774
LT 2458390.3648 z 17.225134 0.123584
LT 2458391.3423 z 17.263924 0.009959
LT 2458393.343 z 17.436864 0.014807
LT 2458394.3441 z 17.553587 0.016142
LT 2458395.344 z 17.652225 0.049649
LT 2458396.3474 z 17.691268 0.02315
LT 2458397.3862 z 17.768303 0.027735
LT 2458407.3509 z 18.193104 0.030064
LT 2458408.3155 z 18.33053 0.059379
LT 2458409.3231 z 18.262557 0.066261
